check_id,requirement,applies_to,evidence_path,status,reason_if_not_applicable,owner,checked_date
R01,Claims have release-specific evidence,All,,not_evaluated,,,
R02,Sources and release rights documented,All,,not_evaluated,,,
R03,Files dictionary manuscript and notebook agree,All,,not_evaluated,,,
R04,Scientific validation and limits reported,All,,not_evaluated,,,
R05,Independent reproduction recorded,All,,not_evaluated,,,
R06,Data version and access verified,All,,not_evaluated,,,
R07,Current headings and declarations complete,Scientific Data,,not_evaluated,,,
R08,Core and minimal RAI Croissant validated,NeurIPS dataset contribution,,not_evaluated,,,
R09,Evaluative purpose and assumptions supported,NeurIPS E&D,,not_evaluated,,,
R10,Small sample for data larger than 4 GB,NeurIPS E&D when applicable,,not_evaluated,,,
R11,Review mode and URLs follow current rules,NeurIPS E&D,,not_evaluated,,,
R12,Official current-year checklist completed,NeurIPS submission,,not_evaluated,,,
R13,Teaching prompts removed from submission,Completed manuscript,,not_evaluated,,,
